Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
RE24190342,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190343,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190344,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,58.36,58.36,58.36,58.35999999999998,2.1680689359681412e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,38360.0,58360.0,159.8904109589041,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),58360.0,False,False,0,0,0,0,0.0,Normal
RE24190348,ZM1,2025-09-13,2025-10-13,30,60,100.0,100.0,100.0,100.0,0.0,CRITICAL,78.08,78.08,78.08,78.07999999999998,1.4330779665943132e-14,60.0,60.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,58080.0,78080.0,213.91780821917808,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),78080.0,False,False,0,0,0,0,0.0,Normal
RE24190355,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190361,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,62.45,62.45,62.45,62.45000000000002,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,42450.0,62450.0,171.0958904109589,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),62450.0,False,False,0,0,0,0,0.0,Normal
RE24190362,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190367,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24193911,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,49.85,49.85,49.85,49.84999999999999,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,29850.0,49850.0,136.57534246575344,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),49850.0,False,False,0,0,40,0,12.0,Normal
RE24193913,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
