date,total_devices,avg_battery,avg_risk,critical_devices,low_battery_devices
2025-09-13,3237,69.84443548387097,50.116536916898355,1049,20
2025-09-14,3237,69.83667338709678,50.13906394810009,1049,20
2025-09-15,3237,69.82927083333334,50.15895582329317,1049,20
2025-09-16,3237,69.819774941216,50.15194624652455,1048,20
2025-09-17,3249,69.81330534094727,50.338387196060324,1059,20
2025-09-18,3249,69.80595566006046,50.27107109879964,1055,20
2025-09-19,3274,69.78191304347826,50.13284972510691,1064,20
2025-09-20,3274,69.77093209054594,49.74913866829566,1051,20
2025-09-21,3274,69.7635086551265,49.77102015882713,1051,20
2025-09-22,3274,69.7559121171771,49.79730910201588,1051,20
2025-09-23,3288,69.74852862849534,49.883388077858875,1059,20
2025-09-24,3288,69.7409587217044,49.726809610705594,1051,20
2025-09-25,3288,67.55290279627164,49.71162408759124,1049,21
2025-09-26,3288,67.55126455906822,49.7105596107056,1048,21
2025-09-27,3298,67.55716283716285,49.75248938750758,1057,21
2025-09-28,3298,67.54542164674635,49.510563978168584,1048,21
2025-09-29,3298,67.53806772908366,49.532916919345055,1048,21
2025-09-30,3301,67.52973116495187,49.569375946682825,1050,21
2025-10-01,3301,67.52317744610282,49.67625870948198,1053,21
2025-10-02,3301,67.51399867374005,49.677518933656465,1055,21
2025-10-03,3317,67.51951843241449,49.96808863430812,1076,21
2025-10-05,3320,67.48590699208442,49.29176807228915,1053,21
2025-10-06,3320,67.47855211081794,49.3142951807229,1057,21
2025-10-07,3320,67.46664248021108,49.358481927710834,1062,21
2025-10-08,3320,67.46430880897394,49.386466867469885,1064,21
2025-10-09,3320,67.45560686015831,49.38398795180723,1063,21
2025-10-10,3320,67.44792546174142,49.41042469879518,1066,21
2025-10-11,3320,67.44023746701848,49.43805722891565,1066,21
2025-10-12,3320,67.43803100263852,49.45866265060241,1066,21
2025-10-13,3320,67.4309135883905,49.47831325301205,1067,21
